2024-07-23T16:24:27.155123Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067226,"T":1721723067225,"s":"ETHUSDT","t":4229210818,"p":"3474.52","q":"0.015","X":"MARKET","m":false}}
2024-07-23T16:24:27.165077Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067236,"T":1721723067236,"s":"ETHUSDT","t":4229210819,"p":"3474.53","q":"1.000","X":"MARKET","m":true}}
2024-07-23T16:24:27.165117Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067236,"T":1721723067236,"s":"ETHUSDT","t":4229210820,"p":"3474.54","q":"0.020","X":"MARKET","m":false}}
2024-07-23T16:24:27.178764Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067250,"T":1721723067250,"s":"ETHUSDT","t":4229210821,"p":"3474.53","q":"1.000","X":"MARKET","m":true}}
2024-07-23T16:24:27.185434Z info 8027 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723067256,"T":1721723067256,"s":"XRPUSDT","t":1535418893,"p":"0.5967","q":"31.0","X":"MARKET","m":false}}
2024-07-23T16:24:27.185469Z info 8027 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723067256,"T":1721723067256,"s":"XRPUSDT","t":1535418894,"p":"0.5967","q":"1168.7","X":"MARKET","m":false}}
2024-07-23T16:24:27.244107Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067315,"T":1721723067315,"s":"ETHUSDT","t":4229210822,"p":"3474.53","q":"0.400","X":"MARKET","m":true}}
2024-07-23T16:24:27.249441Z info 8027 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723067320,"T":1721723067320,"s":"XRPUSDT","t":1535418895,"p":"0.5967","q":"18.8","X":"MARKET","m":false}}
2024-07-23T16:24:27.249479Z info 8027 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723067320,"T":1721723067320,"s":"XRPUSDT","t":1535418896,"p":"0.5967","q":"628.0","X":"MARKET","m":false}}
2024-07-23T16:24:27.249512Z info 8027 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723067320,"T":1721723067320,"s":"XRPUSDT","t":1535418897,"p":"0.5967","q":"10.1","X":"MARKET","m":false}}
2024-07-23T16:24:27.249543Z info 8027 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723067320,"T":1721723067320,"s":"XRPUSDT","t":1535418898,"p":"0.5967","q":"2136.7","X":"MARKET","m":false}}
2024-07-23T16:24:27.249575Z info 8027 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723067320,"T":1721723067320,"s":"XRPUSDT","t":1535418899,"p":"0.5967","q":"8.4","X":"MARKET","m":false}}
2024-07-23T16:24:27.249608Z info 8027 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723067320,"T":1721723067320,"s":"XRPUSDT","t":1535418900,"p":"0.5967","q":"33.2","X":"MARKET","m":false}}
2024-07-23T16:24:27.249640Z info 8027 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723067320,"T":1721723067320,"s":"XRPUSDT","t":1535418901,"p":"0.5967","q":"24.3","X":"MARKET","m":false}}
2024-07-23T16:24:27.249672Z info 8027 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723067320,"T":1721723067320,"s":"XRPUSDT","t":1535418902,"p":"0.5967","q":"106.7","X":"MARKET","m":false}}
2024-07-23T16:24:27.249704Z info 8027 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723067320,"T":1721723067320,"s":"XRPUSDT","t":1535418903,"p":"0.5967","q":"22.6","X":"MARKET","m":false}}
2024-07-23T16:24:27.249735Z info 8027 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723067321,"T":1721723067320,"s":"XRPUSDT","t":1535418904,"p":"0.5967","q":"49.3","X":"MARKET","m":false}}
2024-07-23T16:24:27.249766Z info 8027 {"stream":"xrpusdt@trade","data":{"e":"trade","E":1721723067321,"T":1721723067320,"s":"XRPUSDT","t":1535418905,"p":"0.5967","q":"27.7","X":"MARKET","m":false}}
2024-07-23T16:24:27.260019Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067332,"T":1721723067331,"s":"ETHUSDT","t":4229210823,"p":"3474.54","q":"0.007","X":"MARKET","m":false}}
2024-07-23T16:24:27.260053Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067332,"T":1721723067331,"s":"ETHUSDT","t":4229210824,"p":"3474.54","q":"0.032","X":"MARKET","m":false}}
2024-07-23T16:24:27.270605Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067341,"T":1721723067341,"s":"ETHUSDT","t":4229210825,"p":"3474.54","q":"0.147","X":"MARKET","m":false}}
2024-07-23T16:24:27.301927Z info 8027 {"stream":"ethusdt@trade","data":{"e":"trade","E":1721723067373,"T":1721723067373,"s":"ETHUSDT","t":4229210826,"p":"3474.54","q":"0.611","X":"MARKET","m":false}}
